FEMS - 2023-12-11 00:17:41 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 00:20:57 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 00:21:11 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 00:51:32 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 00:51:48 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 01:19:24 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 01:19:41 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 01:19:49 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id%5B0%5D=KOL
FEMS - 2023-12-11 01:19:54 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id%5B0%5D=KOL
FEMS - 2023-12-11 01:22:16 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 01:22:19 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0 --> admin - System Administrator | View policy with office_id%5B0%5D=KOL
FEMS - 2023-12-11 01:22:27 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0 --> admin - System Administrator | View policy with office_id%5B0%5D=KOL&func_id%5B0%5D=2&func_id%5B1%5D=3&func_id%5B2%5D=4&func_id%5B3%5D=5&func_id%5B4%5D=6&func_id%5B5%5D=7
FEMS - 2023-12-11 01:22:31 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0 --> admin - System Administrator | View policy with office_id%5B0%5D=KOL&func_id%5B0%5D=2&func_id%5B1%5D=3&func_id%5B2%5D=4&func_id%5B3%5D=5&func_id%5B4%5D=6&func_id%5B5%5D=7
FEMS - 2023-12-11 01:27:17 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 01:27:33 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 01:44:47 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 04:40:22 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 04:40:33 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id=KOL
FEMS - 2023-12-11 04:40:45 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id%5B0%5D=ALB&office_id%5B1%5D=ALT&office_id%5B2%5D=BLR&office_id%5B3%5D=CAM&office_id%5B4%5D=CAS&office_id%5B5%5D=CEB&office_id%5B6%5D=CHA&office_id%5B7%5D=CHE&office_id%5B8%5D=COL&office_id%5B9%5D=DRA&office_id%5B10%5D=DUR&office_id%5B11%5D=ELS&office_id%5B12%5D=FLO&office_id%5B13%5D=GER&office_id%5B14%5D=HIG&office_id%5B15%5D=HWH&office_id%5B16%5D=INY&office_id%5B17%5D=JAM&office_id%5B18%5D=JMP&office_id%5B19%5D=KLY&office_id%5B20%5D=KOC&office_id%5B21%5D=KOL&office_id%5B22%5D=KOS&office_id%5B23%5D=LEZ&office_id%5B24%5D=MAN&office_id%5B25%5D=MEX&office_id%5B26%5D=MON&office_id%5B27%5D=DCM&office_id%5B28%5D=MUM&office_id%5B29%5D=NOI&office_id%5B30%5D=ORT&office_id%5B31%5D=PAR&office_id%5B32%5D=DCP&office_id%5B33%5D=SLG&office_id%5B34%5D=DCS&office_id%5B35%5D=SPI&office_id%5B36%5D=THA&office_id%5B37%5D=UKL&office_id%5B38%5D=UTA&office_id%5B39%5D=DCU
FEMS - 2023-12-11 04:40:50 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 --> admin - System Administrator | View policy with office_id%5B0%5D=ALB&office_id%5B1%5D=ALT&office_id%5B2%5D=BLR&office_id%5B3%5D=CAM&office_id%5B4%5D=CAS&office_id%5B5%5D=CEB&office_id%5B6%5D=CHA&office_id%5B7%5D=CHE&office_id%5B8%5D=COL&office_id%5B9%5D=DRA&office_id%5B10%5D=DUR&office_id%5B11%5D=ELS&office_id%5B12%5D=FLO&office_id%5B13%5D=GER&office_id%5B14%5D=HIG&office_id%5B15%5D=HWH&office_id%5B16%5D=INY&office_id%5B17%5D=JAM&office_id%5B18%5D=JMP&office_id%5B19%5D=KLY&office_id%5B20%5D=KOC&office_id%5B21%5D=KOL&office_id%5B22%5D=KOS&office_id%5B23%5D=LEZ&office_id%5B24%5D=MAN&office_id%5B25%5D=MEX&office_id%5B26%5D=MON&office_id%5B27%5D=DCM&office_id%5B28%5D=MUM&office_id%5B29%5D=NOI&office_id%5B30%5D=ORT&office_id%5B31%5D=PAR&office_id%5B32%5D=DCP&office_id%5B33%5D=SLG&office_id%5B34%5D=DCS&office_id%5B35%5D=SPI&office_id%5B36%5D=THA&office_id%5B37%5D=UKL&office_id%5B38%5D=UTA&office_id%5B39%5D=DCU
FEMS - 2023-12-11 04:43:28 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 -->  - Rituparna Banerjee | View policy with office_id=KOL
FEMS - 2023-12-11 04:43:40 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 -->  - Rituparna Banerjee | View policy with office_id=KOL
FEMS - 2023-12-11 05:12:38 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 -->  - Rituparna Banerjee | View policy with office_id=KOL
FEMS - 2023-12-11 05:12:39 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 -->  - Rituparna Banerjee | View policy with office_id=KOL
FEMS - 2023-12-11 05:12:48 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 -->  - Rituparna Banerjee | View policy with office_id%5B0%5D=KOL
FEMS - 2023-12-11 05:12:50 : 172.27.145.2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 -->  - Rituparna Banerjee | View policy with office_id%5B0%5D=KOL
